Name,2MASS Name,WISE Name,SDSS Name,Other Name,DiscRef,RA (h:m:s),Dec (d:m:s),RA,DEC,SpT,SpT_Type,r_SpT,Peculiarities,r_Peculiarities,Member,Quality,r_Member,LACEwING,LACEwING probability,D_Trig,e_D_Trig,r_D_Trig,pmRA,e_pmRA,pmDE,e_pmDE,r_pm,HRV,e_HRV,r_RV,WISE_W1,e_WISE_W1,WISE_W2,e_WISE_W2,WISE_W3,e_WISE_W3,WISE_W4,e_WISE_W4,SDSS_u,e_SDSS_u,SDSS_g,e_SDSS_g,SDSS_r,e_SDSS_r,SDSS_i,e_SDSS_i,SDSS_z,e_SDSS_z,IRAC3p6,e_IRAC3p6,r_IRAC3p6,IRAC4p5,e_IRAC4p5,r_IRAC4p5,IRAC5p8,e_IRAC5p8,r_IRAC5p8,IRAC8,e_IRAC8,r_IRAC8,MKO_Y,e_MKO_Y,r_MKO_Y,J,e_J,H,e_H,K,e_K,JHKRef,MKO_J,e_MKO_J,MKO_H,e_MKO_H,MKO_K,e_MKO_K,MKORef,MKO_L,e_MKO_L,r_MKO_L,Variable,e_Variable,r_Variable,Variable_period,e_Variable_period,r_Variable_period,Polarized Filter,Polarized %,e_Polarized %,Polarized Angle,Q/I,e_Q/I,U/I,e_U/I,Polarization Ref,InDwarfArchive,Comments,L-T Transition,Young,Variable%,Polarization,Priority,Declination,Visible,Varflag,Polflag,Ltflag,Jflag,Ranking,Star,Min,Max,R,Instrument,Source,Filename,Filename2,Sp Note
J0000+2554,00001354+2554180,,000013.54+255418.6,,Knapp2004,00 00 13.54,+25 54 18.0,0.056417,25.905,T4.5,NIR,Burgasser2006,,,,,,(None),,14.12,0.38,Dupuy2012,5.84,19.47,130.03,21.94,Jameson2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.063,0.039,14.731,0.074,14.836,0.119,2MASS,,,14.73,0.07,,,38-Dupuy2012,,,,,,,,,,,,,,,,,,,X,,NIR,,,,1,D,X,,,1,,1,0000+25,1.02687,2.51535,387.4,,Leggett,T4.5_SDSS0000+25.txt,spex-prism_SDSSJ000013.54+255418.6_20040724_BUR06C.txt,
J0001+1535,00011217+1535355,000112.27+153533.8,000112.18+153535.5,2MASS J00011217+1535355,Knapp2004,00 01 12.17,+15 35 35.5,0.300708,15.593194,L4 beta,NIR,Knapp2004,"Red, Low-gravity (Young?)",Faherty2016,,,,AB Dor,45,,,,149.65,19.26,-169.14,19.14,Jameson2008,,,,12.938,0.023,12.517,0.026,11.498,0.177,8.953,,,,,,,,,,,,,,,,,,,,,,,,,,,15.522,0.061,14.505,0.052,13.71,0.043,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,AB Dor,,,1,D,X,,,,,0,0001+15,1.42219,2.50274,904.9,,Leggett,L4_SDSS0001+15.txt,J000112171535355.txt,
J0001-0841,00013166-0841234,000131.93-084126.9,,,Luhman2014a,00 01 31.93,-08 41 26.9,0.383042,-8.690806,L1 p(blue),NIR,Luhman2014a,Blue,Luhman2014a,,,,(None),,,,,331,14,-299,14,Luhman2014a,,,,14.289,0.033,13.962,0.046,>12.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.712,0.049,15.034,0.062,14.698,0.09,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,X,,,,,0,,,,,,,,,
J0002+2454,00025097+2454141,000250.97+245413.7,000250.98+245413.8,,Chiu2006,00 02 50.97,+24 54 14.1,0.712376,24.903917,L5.5,NIR,Chiu2006,,,,,,(None),,,,,1.8,22.7,-35.6,29.1,GagneBDs,,,,14.788,0.036,14.482,0.074,>11.876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.165,0.224,16.06,0.191,15.656,0.217,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,,,,,,0,0002+24,0.726742,2.55888,248.3,,Leggett,L5.5_SDSS0002+24.txt,,
J0004-6410,00040288-6410358,000402.97-641036.2,,2MASS J00040288-6410358,Kirkpatrick2010,00 04 02.88,-64 10 35.8,1.012,-64.176611,L1 gamma,Opt,Kirkpatrick2010,Young,Kirkpatrick2010,Tuc-Hor,Likely Member,Faherty2016,Tuc-Hor,46,,,,64.4,12,-47.2,12.1,GagneBDs,-57,50,Kirkpatrick2010,13.37,0.025,12.937,0.027,12.178,0.244,9.161,,,,,,,,,,,,,,,,,,,,,,,,,,,15.786,0.071,14.831,0.073,14.009,0.046,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,Tuc-Hor,,,1,,X,,,,,,,,,,,,,,
J0004-4044,00043484-4044058,000435.47-404421.9,,GJ 1001 B,Goldman1999,00 04 34.84,-40 44 05.8,1.145166,-40.734944,L5,Opt,Kirkpatrick2001,Binary ; Companion,Golimowski2004,,,,(None),,13.16,0.36,Dieterich2014,643.55,3.21,-1494.31,2.13,Henry2006,32.9,0.2,Blake2010,10.751,0.023,10.488,0.02,9.868,0.045,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.109,0.021,12.055,0.025,11.396,0.024,2MASS,,,,,,,,,,,,,,,,,I,0.105,0.036,70.1,,,,,Menard2002,X,"Binary: a=0.087+/-0.006"" @ 48.1+/-5.2(+/-180) deg (Golimowski et al. 2004); BC located 18.2'' @ 259deg from GJ 1001A on 20 Aug. 2003 (Golimowski et al. 2004)",,,,P,,,X,,2,,1,,LHS102B,0.400043,2.51315,675,,Leggett,L4.5_LHS102B.txt,spex-prism_LHS102B_20040907_BUR07C.txt,
J0005+3737,,000517.48+373720.5,,WISE J000517.48+373720.5,Mace2013,00 05 17.50,+37 37 20.4,1.322913,37.622338,T9,NIR,Mace2013,,,,,,(None),,,,,,,,,,,,,16.88,0.119,13.267,0.031,11.99,0.235,>9.23,,,,,,,,,,,,15.43,0.02,Mace2013,13.28,0.02,Mace2013,,,,,,,,,,,,,,,,,18.33,0.12,18.1,0.08,,,Mace2013,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
J0006+1540,,,,ULAS J000613+154021,Day-Jones2013,00 06 13.00,+15 40 21.0,1.554167,15.6725,L9,NIR,Day-Jones2013,,,,,,(None),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NIR,,,,1,D,,,,1,,1,,,,,,,,,
J0006-1720,00062050-1720506,000620.46-172050.4,,2MASSI J0006205-172051,Kendall2003,00 06 20.50,-17 20 50.6,1.585416,-17.347389,L2.5,Opt,Kendall2003,,,,,,(None),,,,,-47,9.7,15.9,10.3,GagneBDs,,,,13.476,0.027,13.174,0.032,12.374,0.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.662,0.064,14.646,0.059,14.01,0.051,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,D,X,,,,,0,,,,,,,,,
J0006-1319,00062287-1319503,000622.67-131955.2,,,Luhman2014a,00 06 22.67,-13 19 55.2,1.594458,-13.332,L5 p,NIR,Luhman2014a,Peculiar Spectrum,Luhman2014a,,,,(None),,,,,-239.2,15.3,-413.2,17.5,GagneBDs,,,,14.209,0.03,13.721,0.042,>12.340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.674,0.125,15.548,0.106,15.115,0.126,2MASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,0,,,,,,,,,
