Target,RA,Dec,V,J,H,K,SpTy
NGC 7380,22 47 21,+58 07.9,7.2,,,,
HD 215806,22 46 40.2392,+58 17 43.878,9.23,8.251,8.159,8.075,B0Ib
BD+57 2615,22 47 49.57155,+58 08 49.5200,10.14,9.232,9.073,8.986,B1-3Ve
BD+57 2617,22 48 09.726,+58 02 20.00,10.2,9.787,9.764,9.716,B8
Ass Cyg OB 2,20 33.2,+41 19,,,,,
Schulte 11,20 34 08.5159,+41 36 59.361,10.03,6.65,6.226,5.99,O5.5Ifc
GSC 03161-01067,20 33 25.564,+41 33 27.00,11.58,8.168,7.748,7.523,O8.5V
BD+41 3804,20 33 46.111,+41 33 01.05,9.88,6.294,5.839,5.582,O9.5Ia
Schulte 21,20 32 27.738,+41 28 52.26,11.3,9.191,8.895,8.766,B0Ib
BD+40 4219,20 32 13.8218,+41 27 12.009,10.22,7.582,7.248,7.105,O7III((f))
TYC 3161-1199-1,20 32 27.6573,+41 26 22.107,11.1,8.535,8.193,8.021,O8V
BD+40 4221,20 32 45.4439,+41 25 37.513,10.68,7.953,7.617,7.421,O8V
Schulte 14,20 32 16.565,+41 25 35.71,11.47,8.714,8.389,8.185,O9V
GSC 03161-01136,20 32 50.021,+41 23 44.68,11.6,8.579,8.188,7.982,O8V
Schulte 7,20 33 14.1091,+41 20 21.944,10.55,7.248,6.818,6.611,O3If*
Schulte 19,20 33 39.102,+41 19 25.98,10.99,7.23,6.745,6.482,B0Iab
BD+40 4227A,20 33 15.07905,+41 18 50.4762,8.98,6.123,5.721,5.503,O6Ib(fc)+O4.5:III:(fc)
BD+40 4220,20 32 22.42344,+41 18 18.9619,9.12,5.187,4.745,4.339,O6.5-7f+O5.5-6f
Schulte 24,20 33 17.482,+41 17 09.31,11.88,8.354,7.889,7.649,O8V(n)
Schulte 18,20 33 30.785,+41 15 22.66,10.8,6.493,5.891,5.542,B1I
Schulte 9,20 33 10.73679,+41 15 08.2139,10.96,6.468,5.897,5.57,O4.5If
Schulte 12,20 32 40.95965,+41 14 29.2816,11.1,4.667,3.512,2.704,B3-4Ia+
BD+40 4212,20 31 37.5037,+41 13 21.053,10.35,6.498,6.001,5.748,O9:
Schulte 22,20 33 08.799,+41 13 18.21,11.55,7.11,6.54,6.226,O3I+O6V
NGC 1333,03 28 55,+31 22.2,,,,,
Taurus-Auriga,04 41,+25 52,,,,,
HD 279652,04 18 10.3759,+37 43 11.422,9.9,8.912,8.8,8.74,A0
HD 279658,04 17 06.5537,+37 16 55.299,9.91,8.593,8.443,8.4,B9
HD 29333,04 38 25.99548,+29 23 14.4864,8.79,7.145,6.979,6.833,A2
HD 283725,04 39 07.0253,+28 50 29.631,10.02,7.924,7.615,7.456,F5
V* V892 Tau,04 18 40.598,+28 19 15.51,14.69,8.742,7.016,5.787,A0Ve
HD 30675,04 50 52.00389,+28 18 50.6438,7.55,6.717,6.687,6.628,B3V
HD 283637,04 25 58.854,+27 37 01.39,11.23,9.545,9.309,9.189,A0
HD 283701,04 34 54.9767,+27 12 11.184,9.73,7.795,7.556,7.436,A5
HD 283855,04 48 12.685,+27 01 47.80,11.05,9.503,9.35,9.218,A0
HD 283800,04 43 27.3133,+27 01 37.013,9.84,8.833,8.737,8.687,B8
HD 29835,04 43 05.03661,+26 14 35.0614,8.66,5.767,5.135,4.909,K2III
HD 30168,04 46 12.06503,+26 02 07.7832,7.7,6.894,6.869,6.788,A0
HD 29647,04 41 08.04610,+25 59 33.9468,8.31,5.96,5.593,5.363,B8III
HD 283809,04 41 24.7214,+25 54 48.488,10.7,6.994,6.46,6.169,F8
2MASS J04441794+2524512,04 44 17.944,+25 24 51.27,,7.689,6.505,6.049,M4III
2MASS J04371517+2517305,04 37 15.17,+25 17 30.5,,7.39,6.53,6.2,K1III
HD 28170,04 27 34.05064,+25 03 41.7147,8.97,7.708,7.563,7.468,A1III
2MASS J04232455+2500084,04 23 24.55,+25 00 08.4,,8.33,6.589,5.814,K2III
2MASS J04321153+2433380,04 32 11.535,+24 33 38.08,,7.591,6.062,5.482,M4III
HD 28975,04 34 50.17161,+24 14 40.2879,9.07,7.425,7.21,7.111,A5III
M 78,05 46 45.8,+00 04 45,,,,,
HD 38563,05 46 44.658,+00 05 22.78,10.81,7.56,6.97,6.69,B2II-III
HD 290862,05 46 43.386,+00 04 36.05,10.41,8.662,8.413,8.183,B3/5
[SSC75] M 78 11,05 46 45.32,+00 02 40.2,13.09,9.729,9.122,8.757,A0II
