Name,DiscRef,r_SpT,r_radius,r_log_g,r_Teff,r_Mass,r_D_Trig,r_pm,r_SDSS,r_PanSTARRS_y,JHKRef,MKORef,r_Peculiarities,r_Member,r_Gaia-G,r_RV,Polarization Ref,r_IRAC3p6,r_IRAC4p5,r_MKO-Y,r_Variable,r_Variable_period,r_IRAC5p8,r_IRAC8,r_MKO-L
0000+2554,Knapp2004,Burgasser2006,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Dupuy2012,Jameson2008,PS1,PS1,2MASS,38-Dupuy2012,,,,,,,,,,,,,
J0001+1535,Knapp2004,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,Gagne2015c,,Jameson2008,PS1,PS1,2MASS,,Faherty2016,Gagne2015c,,,,,,,,,,,
J0001-0841,Luhman2014a,Luhman2014a,,,,,,Luhman2014a,PS1,PS1,2MASS,,Luhman2014a,,Gaia1,,,,,,,,,,
J0002+2454,Chiu2006,Chiu2006,,,,,,GagneBDs,PS1,PS1,2MASS,,,,,,,,,,,,,,
0003-2822,Cruz2007,Cruz2007,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,,,PS1,PS1,2MASS,,,,,,,,,,,,,,
2MASS J00040288-6410358,Kirkpatrick2010,Kirkpatrick2010,,,Faherty2016,Faherty2016,,GagneBDs,,,2MASS,,Kirkpatrick2010,Faherty2016,,Kirkpatrick2010,,,,,,,,,
J000430.66-260402.3,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
0004-6410,Goldman1999,Gagne2015c,Filippazzo2015,Filippazzo2015,Filippazzo2015,Filippazzo2015,Dieterich2014,Henry2006,,,2MASS,,Golimowski2004,,,Blake2010,Menard2002,,,,,,,,
2MASS J00044599-2007410,Robert2016,Robert2016,,,,,,Robert2016,PS1,PS1,2MASS,,Robert2016,,,,,,,,,,,,
J0004-1709,Gagne2015c,Gagne2015c,,,,,,HSOY,PS1,,2MASS,,Gagne2015c,Gagne2015c,HSOY,,,,,,,,,,
J000458.47-133655.1,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J0005+3737,Mace2013,Mace2013,,,,,,,PS1,,,Mace2013,,,,,,Mace2013,Mace2013,,,,,,
J000536.63-263311.8,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
J0005+0209,Kirkpatrick2016,Kirkpatrick2016,,,,,,,PS1,PS1,,,,,Gaia1,,,,,,,,,,
J000603.34-522744.3,Schneider2016,Schneider2016,,,,,,Schneider2016,,,Schneider2016,,,,,,,,,,,,,,
J0006+1540,Day-Jones2013,Day-Jones2013,,,,,,,PS1,PS1,,,,,,,,,,,,,,,
J0006-1720,Kendall2003,Kendall2003,,,,,,GagneBDs,PS1,PS1,2MASS,,,,Gaia1,,,,,,,,,,
J0006-1319,Luhman2014a,Kirkpatrick2016,,,,,,GagneBDs,PS1,PS1,2MASS,,Luhman2014a,,,,,,,,,,,,
2MASS J00062287-1319503,Robert2016,Robert2016,,,,,,Robert2016,PS1,,2MASS,Robert2016,Robert2016,,,,,,,,,,,,
J000627.85+185728.8,Schneider2016,Schneider2016,,,,,,Schneider2016,PS1,PS1,Schneider2016,,,,,,,,,,,,,,
