Name,2MASS Name,SDSS Name,PanSTARRS Name,Other Name,RA (h:m:s),Dec (d:m:s),RA,DEC,SpT,SpT_Type,radius,e_radius,log_g,e_log_g,Teff,e_Teff,Mass,e_Mass,LACEwING,D_Trig,e_D_Trig,pmRA,e_pmRA,pmDE,e_pmDE,SDSS_u,e_SDSS_u,SDSS_g,e_SDSS_g,SDSS_r,e_SDSS_r,SDSS_i,e_SDSS_i,SDSS_z,e_SDSS_z,PanSTARRS_y,e_PanSTARRS_y,J,e_J,H,e_H,K,e_K,MKO_H,e_MKO_H,InDwarfArchive,L_T Transition,Priority,Declination,Visible,Ltflag,Jflag,Ranking,Star,Min,Max,R,Source,Filename,Filename2,WISE Name,Peculiarities,Member,Quality,LACEwING probability,WISE_W1,e_WISE_W1,WISE_W2,e_WISE_W2,WISE_W3,e_WISE_W3,WISE_W4,Young,Gaia_G,HRV,e_HRV,Polarized Filter,Polarized %,e_Polarized %,Polarized Angle,Comments,Polarization,Polflag,e_Gaia_G,MKO_J,e_MKO_J,IRAC3p6,e_IRAC3p6,IRAC4p5,e_IRAC4p5,e_WISE_W4,MKO_K,e_MKO_K,Instrument,MKO_Y,e_MKO_Y,Q/I,e_Q/I,U/I,e_U/I,Variable,e_Variable,Variable%,Variable_period,Varflag,IRAC5p8,e_IRAC5p8,IRAC8,e_IRAC8,e_Variable_period,Sp Note,MKO_L,e_MKO_L
0000+2554,00001354+2554180,000013.53+255419.2,000013.532+255419.724,SDSS J000013.54+255418.6,00 00 13.545,+25 54 18.06,0.056437,25.905018,T4.5,NIR,0.99,0.15,5.02,0.47,1227,95,47.56,26.76,(None),14.12,0.38,5.84,19.47,130.03,21.94,26.463,0.539,26.173,0.546,24.025,0.613,23.352,0.597,19.168,0.013,17.424,0.01,15.063,0.041,14.731,0.074,14.836,0.12,14.73,0.07,X,NIR,1,D,X,1,0,1,0000+25,1.02687,2.51535,387.4,Leggett,T4.5_SDSS0000+25.txt,spex-prism_SDSSJ000013.54+255418.6_20040724_BUR06C.txt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0001+1535,00011217+1535355,000112.19+153535.1,000112.284+153533.398,2MASS J00011217+1535355,00 01 12.179,+15 35 35.52,0.300746,15.593199,L4 (beta),NIR,1.2,0.01,4.5,0.5,1600,100,25.3,1,AB Dor,,,149.65,19.26,-169.14,19.14,24.91,0.672,24.686,0.501,22.486,0.139,20.369,0.011,18.85,0.018,17.814,0.011,15.522,0.062,14.505,0.053,13.71,0.044,,,X,,1,D,X,,0,,0001+15,1.42219,2.50274,904.9,Leggett,L4_SDSS0001+15.txt,J000112171535355.txt,J000112.27+153533.6,"Red, Low-gravity (Young?)",ABDMG,97.4,48,12.965,0.024,12.539,0.024,11.672,0.237,8.926,AB Dor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0001-0841,00013166-0841234,000131.90-084127.0,000131.945-084127.374,,00 01 32.039,-08 41 28.56,0.3834944,-8.6912669,L1p,NIR,,,,,,,,,(None),,,331,14,-299,14,24.726,1.392,24.315,0.524,22.061,0.174,20.209,0.03,18.575,0.014,17.571,0.014,15.712,0.049,15.034,0.062,14.698,0.09,,,,,,D,X,,0,,,,,,,,,J000131.93-084127.2,Blue,,,,14.344,0.031,13.993,0.047,12.362,,8.455,,20.391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0002+2454,00025097+2454141,000250.97+245413.7,000250.991+245413.640,,00 02 50.976,+24 54 14.17,0.712399,24.903936,L5.5,NIR,,,,,,,,,(None),,,1.8,22.7,-35.6,29.1,25.235,0.801,23.936,0.388,21.693,0.399,21.821,0.163,20.3,0.075,19.286,0.026,17.165,0.224,16.06,0.191,15.656,0.217,,,X,NIR,,D,,,0,,0002+24,0.726742,2.55888,248.3,Leggett,L5.5_SDSS0002+24.txt,,J000250.98+245413.6,,,,,14.819,0.032,14.574,0.058,11.726,,8.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0003-2822,00034227-2822410,,000342.586-282242.959,2MASS J00034227-2822410,00 03 42.279,-28 22 41.00,0.926161,-28.378056,M7,Opt,1.32,0.05,5.18,0.05,2871,76,106.97,9.15,(None),,,,,,,,,20.919,0.032,19.405,0.013,16.767,0.004,15.434,0.004,14.665,0.003,13.068,0.024,12.376,0.028,11.972,0.025,,,,,,W,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00040288-6410358,00040288-6410358,,,00040288-6410358,00 04 02.881,-64 10 35.81,1.012006,-64.176613,L1 (gamma),Opt,,,,,1904,63,16.11,2.9,Tuc-Hor,,,64.4,12,-47.2,12.1,,,,,,,,,,,,,15.786,0.072,14.831,0.073,14.009,0.046,,,X,,1,,X,,0,,,,,,,,,J000403.00-641036.3,Young,Tuc-Hor,Likely Member,51,13.409,0.024,12.959,0.026,12.086,0.301,9.055,Tuc-Hor,,-57,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J000430.66-260402.3,00043065-2603596,,000430.665-260402.977,,00 04 30.666,-26 04 02.34,1.1277745,-26.0673161,T0.5,NIR,,,,,,,,,(None),,,11.9,15.3,-229.6,13.8,,,,,,,,,20.116,0.033,18.62,0.032,16.487,0.133,15.587,0.129,15.523,,,,,NIR,,W,,,0,,,,,,,,,J000430.66-260402.3,,,,,15.211,0.038,14.127,0.044,12.519,,9.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0004-6410,00043484-4044058,,,LHS 102BC,00 04 34.846,-40 44 05.89,1.14519,-40.73497,L4.5,NIR,1.63,0.06,4.25,0.18,1896,77,19.18,6.41,(None),13.16,0.36,643.55,3.21,-1494.31,2.13,,,,,,,,,,,,,13.109,0.024,12.055,0.026,11.396,0.026,,,X,,,,X,,1,,LHS102B,0.400043,2.51315,675,Leggett,L4.5_LHS102B.txt,spex-prism_LHS102B_20040907_BUR07C.txt,000435.47-404421.9,Binary ; Companion,,,,10.751,0.023,10.488,0.02,9.868,0.045,,,,32.9,0.2,I,0.105,0.036,70.1,"Binary: a=0.087+/-0.006"" @ 48.1+/-5.2(+/-180) deg (Golimowski et al. 2004); BC located 18.2 @ 259deg from GJ 1001A on 20 Aug. 2003 (Golimowski et al. 2004)",P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00044599-2007410,00044599-2007410,,000446.187-200741.737,,00 04 45.991,-20 07 41.01,1.19163,-20.128057,L0::p,NIR,,,,,,,,,(None),,,238.4,28.4,-61.4,28.2,,,,,,,20.684,0.033,19.198,0.025,18.337,0.013,16.524,0.138,16.244,0.238,15.749,0.224,,,,,,D,,,0,,,,,,,,,,Peculiar (Blue?),,,,15.48,0.04,15.21,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0004-1709,00045753-1709369,,000457.454-170935.255,,00 04 57.701,-17 09 37.08,1.2404206,-17.1603009,M6,NIR,,,,,,,,,(None),,,150.936,3.869,-10.404,3.682,,,,,,,19.985,0.037,19.205,0.02,,,10.997,0.022,10.455,0.021,10.084,0.021,,,,,,D,,,2,,,,,,,,,J000457.65-170937.0,FLD-G,Field,,,9.89,0.023,9.701,0.02,9.486,0.041,8.196,Field,14.359,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J000458.47-133655.1,,,000458.490-133655.151,,00 04 58.471,-13 36 55.16,1.2436289,-13.6153213,L6.9,NIR,,,,,,,,,(None),,,431.3,21.8,-37.4,20.3,,,,,,,21.88,0.212,20.101,0.031,19.01,0.1,16.841,0.171,16.12,0.207,15.41,,,,,NIR,,D,,,0,,,,,,,,,J000458.47-133655.1,,,,,15.12,0.037,14.457,0.056,12.118,,8.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0005+3737,,,000516.678+373718.167,WISE J000517.48+373720.5,00 05 17.499,+37 37 20.42,1.3229134,37.6223382,T9,NIR,,,,,,,,,(None),,,,,,,,,,,,,21.803,0.074,20.73,0.095,,,,,,,,,18.1,0.08,,,,D,,,0,,,,,,,,,J000517.49+373720.4,,,,,16.764,0.089,13.291,0.031,11.785,0.236,9.122,,,,,,,,,,,,,18.33,0.12,15.43,0.02,13.28,0.02,,,,,,,,,,,,,,,,,,,,,,,
J000536.63-263311.8,00053630-2633123,,000536.719-263311.806,,00 05 36.640,-26 33 11.87,1.4026659,-26.553296,L7.1,NIR,,,,,,,,,(None),,,384,22.8,39.8,20.5,,,,,,,18.595,0.014,20.142,0.068,19.02,0.028,17.171,0.225,15.849,0.165,15.191,0.154,,,,NIR,,W,,,0,,,,,,,,,J000536.63-263311.8,,,,,14.924,0.033,14.261,0.047,12.703,,8.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0005+0209,,000538.80+020950.5,000538.861+020950.792,NLTT 177,00 05 38.910,+02 09 50.01,1.4121232,2.1638912,M6,Opt,,,,,,,,,(None),,,,,,,21.107,0.111,18.374,0.009,16.993,0.006,14.931,0.005,13.938,0.003,13.413,0.003,,,,,,,,,,,,D,,,0,,,,,,,,,J000538.83+020951.2,,,,,10.765,0.023,10.561,0.02,10.34,0.077,8.683,,15.402,,,,,,,,,,,,,,,,,0.529,,,,,,,,,,,,,,,,,,,,,,
J000603.34-522744.3,00060303-5227433,,,,00 06 03.345,-52 27 44.36,1.5139372,-52.4623226,L3.5,NIR,,,,,,,,,(None),,,282.4,8.5,-97.7,8.4,,,,,,,,,,,,,15.753,0.07,14.794,0.08,14.058,0.061,,,,,,,,,0,,,,,,,,,J000603.34-522744.3,,,,,13.604,0.026,13.34,0.029,12.495,0.462,9.071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006+1540,,000613.16+154020.9,000613.284+154020.600,ULAS J000613+154021,00 06 13.00,+15 40 21.0,1.554167,15.6725,L9,NIR,,,,,,,,,(None),,,,,,,24.268,0.78,24.515,0.509,24.022,0.494,19.975,0.046,21.051,0.075,19.867,0.063,,,,,,,,,,NIR,1,D,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006-1720,00062050-1720506,,000620.454-172050.533,2MASSI J0006205-172051,00 06 20.461,-17 20 50.70,1.5852536,-17.3474153,L2.5,Opt,,,,,,,,,(None),,,-47,9.7,15.9,10.3,,,24.159,,21.797,0.18,20.259,0.009,18.832,0.014,17.803,0.014,15.662,0.065,14.646,0.059,14.01,0.052,,,X,,,D,X,,0,,,,,,,,,J000620.47-172050.7,,,,,13.472,0.026,13.179,0.028,12.334,0.41,8.864,,20.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006-1319,00062287-1319503,,000622.654-131955.879,,00 06 22.674,-13 19 55.60,1.5944761,-13.3321121,L7:,Opt,,,,,,,,,AB Dor,,,-239.2,15.3,-413.2,17.5,,,,,,,,,19.688,0.016,18.791,0.13,16.674,0.125,15.548,0.106,15.115,0.126,,,,Opt,,D,,,0,,,,,,,,,J000622.67-131955.6,Peculiar Spectrum,,,21,14.239,0.027,13.754,0.042,12.261,,9.049,AB Dor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00062287-1319503,00062287-1319503,,000622.651-131947.436,,00 06 22.871,-13 19 50.32,1.595294,-13.330645,L6:+T7:,NIR,,,,,,,,,(None),,,-236.9,15.2,-426.5,13.8,,,22.1,0.422,,,,,21.003,0.189,,,16.674,0.126,15.548,0.106,15.115,0.127,15.81,0.09,,NIR,,D,,,0,,,,,,,,,,Binary,,,,14.24,0.03,13.75,0.04,,,,,,,,,,,,,,,,16.7,0.11,,,,,,14.86,0.04,,,,,,,,,,,,,,,,,,,,
J000627.85+185728.8,00062779+1857320,000627.84+185729.1,000627.849+185728.573,,00 06 27.851,+18 57 28.88,1.6160467,18.9580231,L6.1,NIR,,,,,,,,,(None),,,72.2,15.7,-289.1,14.8,23.939,1.34,25.162,0.885,24.363,1.051,21.879,0.173,20.295,0.036,19.227,0.057,17.138,0.206,15.686,0.152,14.836,0.084,,,,NIR,,D,,,0,,,,,,,,,J000627.85+185728.8,,,,,14.111,0.027,13.785,0.039,12.029,,8.377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00063158-2158225,00063158-2158225,,000631.581-215821.173,,00 06 31.586,-21 58 22.57,1.631607,-21.972935,M9::p,NIR,,,,,,,,,(None),,,0.6,28.2,118.9,28,,,,,,,21.19,0.039,19.769,0.036,18.834,0.029,16.832,0.179,16.243,0.241,15.444,0.174,,,,,,D,,,0,,,,,,,,,J000631.58-215821.2,Peculiar,,,,15.501,0.044,15.14,0.084,12.59,,8.938,peculiar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006+1406,00063258+1406064,000632.60+140606.2,000632.662+140606.710,,00 06 32.588,+14 06 06.44,1.635782,14.101788,L0,Opt,,,,,,,,,(None),,,92.5,12.4,18.5,13.4,23.006,0.499,24.281,0.664,22.332,0.184,20.183,0.018,18.713,0.012,17.717,0.006,15.849,0.062,15.302,0.074,15.06,0.147,,,,,,D,,,0,,,,,,,,,J000632.67+140606.5,Galactic Extinction > 0.2 mag,,,,14.31,0.029,14.047,0.042,11.703,,8.491,,,25.1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDSS J000636.38-090603.0,00063639-0906030,000636.38-090603.0,000636.236-090602.928,,00 06 36.227,-09 06 02.99,1.6509476,-9.1008312,,,,,,,2986,,,,(None),,,-157.982,2.234,1.102,2.234,20.391,0.069,17.597,0.004,16.279,0.003,14.237,0.002,13.326,0.003,12.862,0.003,11.467,0.023,10.916,0.024,10.575,0.021,,,,,,D,,,2,,,,,,,,,J000636.27-090603.0,,,,,10.364,0.022,10.161,0.02,9.978,0.063,8.541,,14.729,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006+1512,00064683+1512260,000646.82+151225.9,000646.772+151225.520,,00 06 46.836,+15 12 26.08,1.695151,15.207245,L4::,Opt,,,,,,,,,(None),,,-65.1,12.1,-32.7,12.6,24.029,0.771,25.084,0.627,23.518,0.405,21.043,0.038,19.556,0.026,18.439,0.026,16.221,0.092,15.247,0.076,14.811,0.123,,,,,,D,,,0,,,,,,,,,J000646.78+151225.5,,,,,14.151,0.029,13.897,0.04,12.182,,8.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00064916-0852457,00064916-0852457,000649.15-085246.2,000649.347-085243.373,,00 06 49.169,-08 52 45.71,1.704872,-8.879364,M9:+T6:p,NIR,,,,,,,,,AB Dor,,,-62.5,10.8,-320.2,9.3,25.99,0.507,23.188,0.223,20.914,0.052,21.473,0.176,20.581,0.281,,,14.143,0.03,13.551,0.028,13.132,0.039,,,,,,D,X,,0,,,,,,,,,000649.11-085249.3,Binary,,,23,12.76,0.02,12.35,0.03,11.562,0.206,,AB Dor,,8.3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0006-6436,00065794-6436542,,,,00 06 58.132,-64 36 55.16,1.7422176,-64.6153224,M8 (gamma),NIR,1.82,0.07,5.5,0.5,2100,300,31.9,8.7,Tuc-Hor,,,83.3,3.6,-65.1,10.2,,,,,,,,,,,,,13.385,0.026,12.664,0.03,12.169,0.033,,,X,,1,,X,,1,,00065794-6436542,0.88971889,2.4683926,1146.2,Montreal,J00065794-6436542.txt,,J000658.09-643654.9,INT-G,THA,99.9,81,11.741,0.022,11.421,0.021,11.063,0.143,9.158,Tuc-Hor,17.988,,,,,,,,,,,,,,,,,,,,FLAMINGOS-2,,,,,,,,,,,,,,,,,,,
J0007+0112,,,000735.119+011253.642,ULAS J000734.90+011247.1,00 07 34.957,+01 12 47.37,1.8956555,1.2131591,T7,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,20.922,0.137,,,,,,,,,,,,,,D,,,0,,,,,,,,,J000734.95+011247.3,,,,,17.289,0.165,15.874,0.187,12.409,,8.971,,,,,,,,,,,,,18.05,0.04,,,,,,,,,19.22,0.07,,,,,,,,,,,,,,,,,
2MASS J00081285+0806441,00081285+0806441,000812.85+080642.8,000812.847+080641.285,,00 08 12.853,+08 06 44.14,2.053555,8.11226,L0.5::,NIR,,,,,,,,,(None),,,9.5,25.7,-265.6,22.7,23.713,0.497,25.093,0.475,23.235,0.233,20.944,0.03,19.436,0.025,18.494,0.01,16.591,0.155,15.541,0.129,15.155,0.168,,,,,,D,,,0,,,,,,,,,,,,,,14.96,0.04,14.61,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0008-1739,,,000849.794-173922.808,WISEPC J000849.76-173922.6,00 08 49.756,-17 39 23.20,2.2073154,-17.6564435,T6,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,20.6,0.184,19.583,0.19,17.03,0.06,17.77,0.13,17,,,,X,NIR,1,D,,1,0,1,,,,,,,,J000849.75-173923.1,,,,,16.875,0.109,14.795,0.069,12.085,,8.343,,,,,,,,,,,,,,,16.044,0.03,14.867,0.021,0.381,,,,,,,,,,,,,,,,,,,,,,
J000856.39-281321.7,00085614-2813211,,000856.421-281321.697,,00 08 56.395,-28 13 21.80,2.2349802,-28.2227213,L8,NIR,,,,,,,,,(None),,,284.3,16,-54.7,13.6,,,,,,,,,19.933,0.028,19.035,0.044,16.727,0.137,15.664,0.139,15.049,0.131,,,,NIR,,W,,,0,,,,,,,,,J000856.39-281321.7,,,,,14.119,0.027,13.636,0.037,12.346,0.41,8.906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0010-2031,00100009-2031122,,001000.198-203112.078,,00 10 00.095,-20 31 12.26,2.500396,-20.520073,L0,Opt,,,,,,,,,(None),,,117.55,19.3,30.4,17.32,,,,,20.825,0.029,18.443,0.006,16.971,0.004,15.986,0.01,14.134,0.024,13.368,0.03,12.882,0.03,,,X,,,D,X,,0,,,,,,,,,J001000.18-203112.1,,,,,12.544,0.024,12.281,0.024,11.985,0.305,8.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0010+0100,,,001040.586+010012.642,ULAS J001041+010013,00 10 41.00,+01 00 13.0,2.670833,1.003611,L1,NIR,,,,,,,,,(None),,,,,,,,,,,,,,,20.707,0.164,19.986,0.116,,,,,,,,,,,,D,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0011-1523,00115060-1523450,,001150.706-152347.090,,00 11 50.601,-15 23 45.00,2.960836,-15.395834,M7,NIR,,,5,0.5,,,,,(None),,,,,,,,,,,21.939,0.171,19.554,0.009,18.262,0.005,17.558,0.012,15.93,0.077,15.642,0.151,15.261,0.137,,,,,,D,,,0,,,,,,,,,J001150.69-152347.0,,,,,15.012,0.033,14.765,0.072,12.454,,8.802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00132128+0841006,00132128+0841006,001321.36+084059.7,001321.390+084059.463,,00 13 21.287,+08 41 00.61,3.338697,8.683504,L1:,NIR,,,,,,,,,(None),,,167,24.5,-90.9,22.7,25.77,1.123,25.947,0.792,21.979,0.173,20.556,0.015,19.142,0.006,18.21,0.007,16.525,0.145,15.711,0.144,15.205,0.152,,,,,,D,,,0,,,,,,,,,J001321.40+084059.7,,,,,14.896,0.036,14.631,0.068,12.442,,8.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0013+0634,,,001353.295+063441.535,WISE J001354.39+063448.2,00 13 54.408,+06 34 48.13,3.4767011,6.5800361,T8,NIR,,,,,,,,,(None),,,1170,90,-540,90,,,21.544,0.142,21.143,0.102,20.559,0.04,20.135,0.063,,,,,,,,,,,,,,D,,,0,,,,,,,,,J001354.40+063448.1,,,,,18.228,,15.228,0.094,12.195,,8.952,,,,,,,,,,,,,,,17.15,0.03,15.16,0.03,,,,,,,,,,,,,,,,,,,,,,,
J0013-2235,00135779-2235200,,001357.806-223520.283,2MASSI J0013578-223520,00 13 57.797,-22 35 20.09,3.49082,-22.588915,L4,Opt,,,,,,,,,(None),,,45.2,10.1,-69.1,10.6,,,24.356,,21.643,0.163,20.754,0.14,18.493,,17.902,,15.775,0.065,14.595,0.062,14.036,0.051,,,X,,,W,X,,0,,,,,,,,,J001357.84-223520.9,,,,,13.318,0.025,13.036,0.029,12.1,,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASS J00135882-1816462,00135882-1816462,,001358.794-181648.713,PSO J003.4950-18.2802,00 13 58.821,-18 16 46.24,3.495088,-18.279512,L3:+T4:,NIR,,,,,,,,,(None),,,-9.1,18.2,-182.3,18.3,,,,,,,21.473,0.026,19.948,0.047,18.875,0.015,16.537,0.139,15.892,0.175,15.04,0.131,,,,,,D,,,0,,,,,,,,,J001358.81-181648.4,Binary,,,,14.549,0.03,14.138,0.045,11.999,0.35,8.439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI0014,00144919-0838207,001450.09-083823.0,001450.175-083823.247,WISEA J001450.17-083823.4,00 14 50.179,-08 38 23.41,3.7090784,-8.6398354,esdL0,Opt,,,5.5,,2600,,,,(None),,,1460,13.1,-247.5,13.1,25.221,1.261,21.388,0.025,20.103,0.006,17.402,0.057,16.258,0.003,15.773,0.006,14.469,0.026,13.95,0.026,13.769,0.044,,,,,,D,X,,0,,,,,,,,,J001450.17-083823.4,Subdwarf,,,,13.429,0.025,13.204,0.03,12.041,,8.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0014-4844,00145575-4844171,,,,00 14 55.755,-48 44 17.15,3.732314,-48.738098,L2.5p,Opt,,,,,,,,,AB Dor,,,864.7,5.7,311.2,11.5,,,,,,,,,,,,,14.05,0.035,13.107,0.036,12.723,0.03,,,X,,,,X,,0,,,,,,,,,001456.68-484413.8,Peculiar Spectrum,,,52,12.244,0.024,11.994,0.023,11.445,0.136,,AB Dor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0015+2959,00150206+2959323,,001502.426+295929.549,,00 15 02.064,+29 59 32.30,3.758599,29.992306,L7.5p ,NIR,,,,,,,,,AB Dor,,,382,10.8,-203.6,12.8,,,,,,,21.442,0.041,19.348,0.012,18.286,0.024,16.158,0.081,15.226,0.084,14.482,0.073,,,X,NIR,1,D,,1,0,1,00150206+2959323,0.650787,2.5627,244.6,SpeX,spex-prism_2MASSJ00150206+2959323_20051018_KIR10A.txt,,001502.37+295930.1,Blue,,,21,13.691,0.026,13.384,0.035,11.707,0.197,,AB Dor,,-71,50,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
J0015+3516,00154476+3516026,001544.78+351601.9,001544.827+351559.550,2MASSW J0015447+351603,00 15 44.766,+35 16 02.64,3.936525,35.267399,L2,Opt,,,,,,,,,(None),,,83.15,16.92,-245.66,14.56,26.503,0.488,22.913,0.219,20.377,0.025,18.183,0.008,16.813,0.006,15.883,0.005,13.878,0.031,12.892,0.036,12.264,0.024,,,X,,,D,X,,1,3,,,,,,,,001544.81+351600.0,,,,,11.775,0.023,11.534,0.021,11.032,0.091,,,,-37.3,0.2,I,0.065,0.032,,,P,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0016-0043,00160844-0043021,001608.48-004302.4,001608.563+004302.584,,00 16 08.444,-00 43 02.15,4.035185,-0.717263,L5.5,NIR,,,,,,,,,(None),,,135.5,13.5,-16.8,17.3,24.891,1.036,25.1,0.618,23.115,0.321,21.051,0.031,19.631,0.025,18.648,0.019,16.326,0.116,15.229,0.112,14.541,0.09,,,X,NIR,,D,,,0,,0016-00,1.39063,2.50304,897.5,Leggett,L5.5_SDSS0016-00.txt,,J001608.55-004302.5,,,,,13.838,0.026,13.39,0.032,11.829,0.484,8.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0016-1039,00163762-1039106,001637.58-103912.1,001637.506-103913.260,,00 16 37.624,-10 39 10.61,4.156768,-10.652947,L0,Opt,,,,,,,,,(None),,,-120.7,14.6,-198,14.4,23.409,1.108,25.355,0.834,22.28,0.19,19.704,0.022,18.23,0.009,17.344,0.011,15.455,0.052,14.78,0.069,14.533,0.096,,,,,,D,X,,0,,,,,,,,,J001637.53-103913.0,,,,,14.136,0.028,13.823,0.041,12.354,0.443,8.183,,,-1.6,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J001643.97+230426.5,00164364+2304262,001643.93+230426.3,001644.023+230426.767,PSO J004.1834+23.0741,00 16 43.977,+23 04 26.56,4.1832355,23.0740433,L8.9,NIR,,,,,,,,,(None),,,386.1,16.7,25.9,15.8,23.322,0.858,24.697,0.918,24.03,0.72,24.081,0.924,20.371,0.062,18.901,0.032,16.412,,15.704,0.138,14.973,,,,,NIR,,D,,,0,,,,,,,,,J001643.97+230426.5,,,,,14.325,0.029,13.667,0.035,11.942,0.277,9.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J0016-4056,00165953-4056541,,,,00 16 59.531,-40 56 54.15,4.248045,-40.948376,L3.5,NIR,,,5,0.5,1600,100,,,(None),,,204.9,6.8,44,9.5,,,,,,,,,,,,,15.316,0.061,14.206,0.048,13.432,0.038,,,X,,,,X,,0,,00165953-4056541,0.647657,2.55557,243.6,SpeX,spex-prism_2MASSJ00165953-4056541_20080907_BUR10A.txt,,J001659.74-405653.7,,,,,12.828,0.024,12.452,0.022,12.795,0.405,9.456,,,,,,,,,,,,,,,,,,,,,,SpeX Prism,,,,,,,,,,,,,,,,,,,
